text,label
"I don’t get the graves stuff man. I understand the advanced metrics, but he shoots it at low volume, he’s not mobile at all, he fouls a ton, and he doesn’t play a lot(22 min a game or smth). He also can’t rly create for himself very well. I think he deserves to go late first but putting him above a guy like morez or even Jefferson and Zuby and than saying there’s a talent gap is crazy to me.",analysis
Not close imho unless you’re inducting 100 more regional players. Basketball reference gives him 7% purely on nba stats. This league rating suggests China wasn’t close to a top 10 national league when he was there.,analysis
"Curry's gravity is the engine of the Warriors. Even when he shoots 4/14, he routinely draws two defenders 30 feet from the basket, creating 4-on-3 advantages for Draymond.",analysis
"Castle has a higher turnover rate and lower assist to turnover ratio than Fox. Fox is the stabilizing veteran. Fox is not a traditional floor general style of point guard, and he has had his ups and downs in the playoffs, but he does a better job not turning it over than Castle.",analysis
"I'm not a BI defender by any means but I don't think that is totally fair. Raptors had an abysmal half court offense last year, and it's been bad for a lot longer before too. BI almost always gets a decent shot, when he's not open he's still kind of open and that's why he has value. The efficiency is nothing that special but I could understand the reason they could see a role for him. There is no easy answer to fix their offense, having one guy who can create for himself can bail you out of a lot of bad possessions late in the clock.",analysis
"It’s just what a player is used to. Brunson has defended right handed players his whole life. It’s not that .It’s more you’re trying to do everything opposite of what you’ve trained. Where the help comes from, what hand to contest, where to funnel, etc…",analysis
What is with this love affair with Herb Jones? You must be a Laker fan. The dude is ok at best. He's not good enough to deserve this type of glazing.,reaction
"1, 2, 3 Cancun!",reaction
"Mike Brown isn’t letting them lmaooo, also role players and sharing the ball has helped tremendously",reaction
"Isn’t Jaden McDaniels far more scalable than Herb Jones? This season, he’d literally score twenty more points than usual when one of the stars was out.",analysis
There would still be plenty of backcourt depth. McLaughlin is a solid depth guard and Vassell and Champagnie are really shooting guards who have been playing out of position all year.,analysis
"I'm not making excuses for Luka's defensive effort in general, though I think it was improved this year, but the Lakers had no hopes of being anything other than a mediocre defense regardless of Luka's work on that end. Their roster was simply not built to be a league average defense. On the other side of things, how far do the Lakers get if Luka isn't averaging 33.5ppg and being one of the top 3 playmakers in the league? They were 10-8 (4 wins vs. PO opponents) this year without him compared to the Celtics without Brown who were 9-3 (5 wins vs. PO opponents).",analysis
He boomed me.,reaction
The one thing I want to mention is that when the Spurs traded for Fox I imagine that they the Spurs and every one else did not believe the very next season Fox was going to be a starting point guard for a championship team. The Spurs traded for Fox before they got lucky lottery odds again and were able to draft Harper at 3 this year. The Spurs winning the title this year was not on anybodies mind when this trade happened 1 season ago. Nobody thought of Fox as that guy who is the lead guard and main ball handler for a championship team this year when last year he was on the kings. My point is he did a good enough job meeting expectations and now the team's succes is so large that Fox either needs to be credited more or less. I see plenty of people who think it should be less,analysis
"In for the Basketball Hall of Fame, but not if we’re judging him only as an NBA player. The NBA resume is probably too light, but his CBA career and impact in China make his overall basketball story much stronger. The Hall is not strictly NBA-only, so I think he has a real case",analysis
"I don't think being a lefty is a disadvantage on defense. I'm a lefty tennis player, lefties have a massive advantage in tennis. But I find it way easier to play against righties, simply because I have way more practice against them. I'd think it's similar for basketball",analysis
"Haliburton's assist-to-turnover ratio is historically great because he rarely makes skip passes. He relies on short, high-percentage reads off the pick-and-roll.",analysis
"Honestly, the biggest surprise for me is Cade making First Team over Brown. Not saying Cade wasn't incredible, but jumping all the way to First Team while edging out a proven two way star on a top team is a massive statement from voters.",hot_take
"Your left hand is closer to the shooters right hand then your right hand is. If somebody focuses on defense, it would be beneficial for them.",analysis
"In terms of talent and skill, he's first ballot. His stats get him in but since teams improved without him, he's going to be criticized. He was still well in his prime when the Knicks deactivated him. He wasn't anywhere close to slowing down and had no business coming off the bench. The minor knee surgery was the only injury he ever had that kept him out significantly. He was like Terrell Owens when it came to training. He was always ready to go come camp.",analysis
WEMBY IS AN ALIEN 👽👽👽,reaction
Jerry West is a basketball lifer and I would make the argument to anybody who has more than 5 minutes to listen that his life in basketball is the GOAT of what is accomplishable in this sport.,hot_take
Why would you choose Herb Jones over guys who do what he does but better like Jaden McDaniels or OG? Herb's not even the best of his archetype as a non star and his shot fell off a cliff. He had 1 season of above average 3 point shooting and all others below,analysis
"For example, you brought up the highest FTA by a guard in NBA history. That's great and all but the [estimated] pace during the 60s was so absurd, it's not even comparable to any point in NBA history. Using the year he had a career high in FTA, we saw a pace of 121.4 possessions on average. To put that into comparison to modern basketball, the average NBA pace hasn't surpassed 100 since 1989. If we assumed the averaged pace of the 1960s to be around 120 possessions per game, he'd be averaging around 8.0 FTA which is good however it's nothing legendary and would rank around the 90th ranked players.",analysis
"I will take a guess that you have Curry ahead of him? Defense matters, right? West was a candidate for DPOTY every season. Curry has always been mediocre. Without a 3-point line, West averaged more points per game than Curry. Assists - West. Rebounds - West. Steals - West.",analysis
"Jayson Tatum is the most boring superstar in the league. He has zero aura, no signature moves, and gets carried by the best front office in basketball.",hot_take
"Game 7 where Shai was essentially the only offense OKC had is an example where I'd WANT my star who has been hot all game taking shots even if a roleplayer could have a slightly better one, simply because in that game the entire OKC cast was hurling bricks.",analysis
Send da video.,reaction
Nobody beat the allegations today.,reaction
"Mitchell has always been like this, IMO.He also doesnt play defense lol",hot_take
"Paul George is washed. I don't care what the stats say, if you watch the games he has completely lost his burst and settles for terrible jumpers.",hot_take
"Russ had a grand total of 5 teammates who shot better from unassisted than assisted (since I can't find the numbers specific to his assists we'll use this as a proxy). Three of them played a grand total of 41 games over the two seasons, so we might want to overlook them. One of them was Semaj ""Backwards James"" Christon who was out of the league immediately after. The other was Raymond Felton who aged out of the league a year later.",analysis
I dont get the AJ hype. Hes an inefficient shooter who focuses on mid range. A good portion of his offense is foul baiting. His defense is historically bad. Maybe the worst ive ever seen from someone his size. It feels like another supreme athlete that doesnt play basketball really well.,analysis
That’s like saying Jarred Vanderbilt is one of the most scalable players on the league. when in reality he’s borderline unplayable due to his offensive woes.,hot_take
"Giannis is wildly overrated and is closer to being out of the top 40 all-time than top 25. All he does is run and dunk, if you build a wall he's completely neutralized.",hot_take
"They are, Fox hunted Brunson for that 13-0 Spurs stretch in the second half. The Knicks have just been better at adjusting and have a bigger team. KAT was viewed as a weak point on defense but he’s closed that gap.",analysis
"I think the ""Boozer is the safest pick"" argument makes a ton of sense if you have the team to support a ""safe pick"". Not that Boozer can't improve a team, but many of the teams at the bottom (Utah, Washington, etc.) need someone with a much higher ceiling to sell to their fanbases.",analysis
"You need a great ball handler who you want to run the offense basically every play to hunt mismatches. And the Spurs don’t have one. Fox is their most reliable ball handler, but offensively he’s been bad this postseason. Harper would be the guy, but he’s too young and unreliable at this point.",analysis
I think the hype is justified considering what we’re seeing out of him at 22 years old. People are excited so it’s a lot but he presumably will only go up from here,hot_take
LMAOOOO the Suns really traded their entire future for KD just to get swept by Anthony Edwards.,reaction
"(I know no one wants to hear this, but his ill-advised layup was the direct result of his smart (veteran?) play to get to the loose rebound and tap it downcourt and chase it down.)",hot_take
"Luka is just James Harden with better PR. He holds the ball for 20 seconds every possession and plays zero defense, you can't win big with that style.",hot_take
Cleveland analytically won the series but not allowed to play in the finals,hot_take
"I've seen enough, give him the MVP.",reaction
"Ben Taylor uses the term scalability to mean ""doesn't lose value on better and better teams."" He mentioned it a lot in e.g. his Greatest Peaks series. That's probably where OP got it from.",analysis
"This is from google AI ""The Memphis Grizzlies rosters from the 2002 to 2007 seasons featured the franchise's first era of sustained success, including three consecutive playoff appearances. The team was anchored by stars Pau Gasol, Shane Battier, Mike Miller and Jason Williams"" Guess who worked for the Grizzles as President of basketball operations? JERRY WEST",analysis
Greatest game I've ever watched in my life.,reaction
"Been that way for a while, people hand out the 3&D tag way too easily and once you get it, you’re considered 3&D until you’re basically washed",hot_take
"He shot good two years ago and earned the 3&D tag now people are reluctant to remove it.Come to think of it, there are a lot of ""3&D"" guys who are missing either the 3, or D, or both.",hot_take
"He’s being paid $55 million a year, almost twice what any other Spur is being paid. The Knicks star, Brunson is getting $29 million.",analysis
Two long term benefits. He gets to learn veteran tricks from each of them. And he gets to defend each style regularly in practice.,analysis
Wemby is already a top 5 player in the league. People are just scared to admit it because he's a rookie. Put him on the Celtics and they go 82-0.,hot_take
ngl the scalability vs versatility debate is semantic at this point. Herb fits everywhere because he guards 1-4 at an elite level without needing touches. That's the real point regardless of label.,analysis
That’s how it felt for the Cavs i agree. It seemed like every run they went on was just taking a shot usually a 3 early in the shot clock and it was actually going in.,hot_take
The Knicks defense has been built to cover for teams hunting mismatches. They are really good at swarming the paint when there is a breakdown and recovering to good shooters when the opponents try and pass out. A lot of the Knicks steals came after the Spurs got into the paint.,analysis
"The biggest issue for San Antonio going forward is his contract. They're paying him to be their second best player, and he's their third best guard. He's going to make $61m in his age 31 season when San Antonio will need to be paying max or near-max contracts to Wemby, Castle, and Harper. They got impatient to build around Wemby and made a terrible unforced error, from an organization that has historically been smarter than that.",analysis
"Not to take anything away from these legends because you can only play against whoever is in front of you and I don't want to fault them for being born when they were. I just don't think it's fair to be comparing their raw stats against modern players. With that said, I don't think there is a fair away to judge the pioneers of the game. But stats like that 41 game win streak is super impressive.",analysis
I’m not sure you can include Boston as an exception. He was absolutely horrible for us and I was rooting for him so hard.,reaction
"Chet was literally open in the charge circle or at best had like Vassell or Fox “guarding” him and would deliberately cut out of bounds or go hide in the corner to not get the ball. I’m talking literally just put your hands up, catch, and quickly dunk radius. He could have easily had like 24 on 12/14 Fgs, even Ayton would have",analysis
INJECT THIS INTO MY VEINS.,reaction
He got that dawg in him.,reaction
"Yeah, I'm thinking I'm back.",reaction
"As a spurs fan, don’t need him to control the game as you say, just hold the ball really lol.All jokes aside, fox has been in a different role all year and he has done a great job all things considered. We lost our lead due to about a million mistakes so while I still think Fox had a brain fart, we just didn’t deserve to win the last game..",reaction
Fire Darvin Ham into the sun.,reaction
"Effort does not equal good defense (or even passable), it just appears that way. Brunson was getting torched by the end of the 4th and single handily almost caused them to lose game 2. He is a 1 percentile defender that is just as bad as everyone you mentioned, he just has several players around him to cover his faults.",analysis
They really let this man get a ring.,reaction
"The cadence thing I think is a big part of why Harden has struggled in the playoffs over his career. So much of his game is about stringing together moves that look the same - several jab steps or slow crossovers to lull you to sleep before the one where he suddenly drives to the rim or launches a step-back. That stuff is obviously really effective against the minimal level of preparation an NBA team puts into a typical regular season game. But I think defenders who are locked in for the playoffs, who have been studying film and played against him for five games in a row, can start to unlock his patterns and play a step ahead of him.",analysis
"Olynyk was always a fine player. I think one fun thing about the Wizards and their medium-term misery is the little trivial footnote of ""....if Kelly Olynyk didn't have the game of his life....""",hot_take
"If you really step back, Fox has been on good teams in 2023 and 2024 (yes, they still had a winning record here despite not entering the playoffs). Aside from those and this year, he hasn't been in other winning seasons in his 9 seasons in the NBA. While he's been in the league for a while, being in winning situations more times than not would have helped with crucial decision making",analysis
This is the worst day of my life.,reaction
"totally agree with you. reason being, high difficulty shot making is inconsistent and too highly variable (even for the best players).",analysis
We are witnessing greatness.,reaction
Jerry West is the most underappreciated great to me. As a Lakers fan I claim Jerry West as my GOAT. Not only did he have that remarkable career as a player but he was the General Manager of the Lakers from 1982-2000 and mastermind behind the Lakers getting Shaq and Kobe. Also he was hired as the Warrior's special consultant and executive board member in 2011 and help that team build and grow into a champion. Then he went to the Clippers after that and the Clippers had the best stretch in team history and made the Western Conference Finals.,analysis
"It really wasn’t a “terrible unforced error” to acquire Fox. He is a trade asset. Is he a bit overpaid? Sure, but they’ll get something back for him when they decide to move on, which will be sometime before Castle and Harper both get expensive.",analysis
"I think in the case of Shai (and other elite guard scorers like MJ, Kobe) the shot quality is less important because for guys that good, those aren't actually super difficult shots. For the average player, or role player, you'd get benched for taking them, but for those guys, that's why they are number 1 options.",analysis
"They signed him to a 4-year extension when he still had a year left on his contract. Maybe the FO didn't think they would as good this year. But they decided to pay Fox to be their starting PG and highest paid player for Wemby's age 23, 24, 25, and 26 seasons.",analysis
"If you look at the tracking data, Jokic creates more open corner threes than any center in history. It's not just his vision; it's the timing of his passes before the double team even fully commits.",analysis
"Others pointed out that Towns and Brunson are just trying really hard when they get hunted. But also OG, Bridges, and Hart are 3 hand-picked wings that are about as good as any 3-man combination at covering and recovering.",analysis
"I think he’s probably the most underrated player ever these days. You have people who think “well he was obviously good” but never put him in major conversations. To me, he’s in the KD type tier of “not quite top 10, but not outside 20”.",hot_take
You could see this during the regular season on how they limited Wemby's minutes. There were several games where I clearly felt like they chose long term health/development of the players over regular season wins.,analysis
Reaves isn’t on OG’s level. None of the things he’s better at offensively have moved the needle yet in the playoffs.,hot_take
Obviously offense was not the main part of Russell's and Robinson's game. Even there David Robinson was definitely someone who fell off from the regular season to the playoffs when he was the #1 option on offense.,hot_take
Mickey Mouse ring.,reaction
As an OG fan since his rookie year I'm glad people know how good he is now that he's on the Knicks.,reaction
Bro thought he was him 💀,reaction
"2nd best on the Lakers and Celtics is crazy. He's not better than LeBron or Jaylen/Jayson. Reaves, White, and Castle are at least same tier as OG.",hot_take
God disguised as Michael Jordan.,reaction
The script writers went crazy with this one.,reaction
"You legitimately cannot be infinitely scalable while being a poor shooter. So no, he’s not the most scalable non-star.",hot_take
"Miami's zone defense completely stalled the Bucks. They shifted seamlessly between a 2-3 and a 3-2 depending on where Giannis was positioned, forcing Milwaukee into late-clock contested threes.",analysis
"AJ has the ability to become a Carmelo/Tatum Hybrid, and I don't think he's that far away from achieving that.",hot_take
"this is why I'm so fucking frustrated that the Raptors picked up Brandon Ingram. We already had problems with people dribbling the air out of the ball, we already had problems passing out to the open man. Now we add some guy who, albeit injured this year, takes the worst shots known to fucking man? It would be one thing if he was hurt and adjusted his playstyle, but no, he literally chooses to take the hardest shots while hurt.",reaction
It is NBA so they definitely go with the narratives.,hot_take
"Well it's ""easy"" to guard their P&R cause the Knicks don't have to worry about the guards shooting the 3. None of the Spurs ball handlers are real consistent threats to shoot. And the Knicks have the right personnel around JB to help and recover without giving up too much",analysis
Isn’t Dybansta a 3 and his ceiling higher because he’s a huge wing? Caleb Wilson and JJJ are not similar in any way. Wilson is a much twitchier athlete that can rebound. Trip is a stretch 4 that can defend 2-5 at a high level.,analysis
"But in the post season, if you’re playing an elite defense like the spurs (or okc), sometimes a superstar generating a hard shot might be the best look you get. That’s where guys like Shai (and as a wolves fan, I’d like to say Ant as well) become valuable in that they can generate a good enough look when nothing else is there.",analysis
"If they somehow offload Fox they will have almost zero backcourt depth. McLaughlin is 5'10"" and a solid garbage time player. If castle or Harper get hurt they are in real trouble.",analysis
LMAOOOOOOOOOO,reaction
Russ did not need to shoot that much. He also didn't need to shoot just 1 shot/game less than KD when they were teammates. KD might not have left OKC if he wasn't handcuffed to the most glorified loser in recent NBA history.,hot_take
I actually think this year both helped and hurt Brown. It helped in that it showed that you could create an offensive system that prioritized Brown as a 1st option and did things to get him open and get him into his shot and win games doing so.,analysis
KD's rings literally do not count. You can't join a 73-9 team that just beat you and claim you are the best player in the world. Steph was always the engine.,hot_take
"Chet was massively impactful for OKC this year. With him on the floor and SGA off the floor, OKC was still a +13 team mostly driven by his impact on defense. For a bunch of the season OKC was actually better with Chet on the floor than they were with any other player on.",analysis
We are so incredibly back.,reaction
You can’t make the hall of fame making only 2 all star teams and winning 0 playoff series (except the team he was on where he averaged 3/1/1).,analysis
"The Knicks are just playing really incredible team defense right now. Minus Brunson the kicks have a ton of size and length in their starting 5, and they’ve just been incredibly adept at rotating themselves out of undesirable matchups - a big part of that is KAT seeming to have seized his defensive potential throughout the course of the playoffs.",analysis
"They have to attack KAT in pnr, not a wemby iso. KAT is horrible at pnr defense.",hot_take
Some are saying it's one of the games in history.,reaction
"“With all the big scoring” what are you talking about? 40 points is still rare in the modern game. With the “playoff physicality” rules, even 30 is difficult to get to.",hot_take
"He's a textbook young superstar. he's hotheaded and clearly loses his cool when things don't go his way, leading to poor shot selection and dumb mistakes. (Missing two crucial FT's, throwing the ball at Castles ass)",hot_take
"Even though he played in a higher scoring era than a guy like LeBron, that Finals points stat is crazy.",hot_take
Knicks have a mature team who can play through their motions regardless of the scoreboard. They’re playing well and very consistent,hot_take
If we are giving him a nod for cba then Yi Jianlian should at least go in first. And maybe not before Marbury but I imagine there is a good list of international players that should be going into the hall of fame for international careers regardless of how their nba career panned out. Ricky Rubio being one of them.,analysis
yup. he’s the one pnr ball handler who has the handling and varied shot making to punish brunson in isolation when knicks help/paint defense is less of a factor. the only issue is fox has been really hot and cold during the spurs ps run.,analysis
"The only way to hunt KAT is by setting flare screens to get jumpers for the guy he’s guarding. Iso him and he holds up. He guarded Durant two years ago and the Wolves swept Phoenix, then held up on Jokic.",analysis
"Pulled ~1.1M individual matchups from the tracking era (2018–25) and tagged both players' shooting hand. Query against PBP data. Headline: lefty scorers do score ~4% more per possession — but there's context.The lefties who dominate the minutes board are Harden, Fox, Randle, Brunson, Sabonis. When you control for the scorer himself vs. defender (his efficiency vs lefty defenders vs righty defenders), the handedness effect is ~0.3%, i.e. noise.",analysis
The hyperbole used to elevate meh basketball players to MVP levels is neither new nor limited to the playoffs.,hot_take
"He had one wild outlier season from 3-point range but has otherwise been a poor shooter his entire career. The last two seasons he's been at 30.6% and 30.9%. And he's not a mid-range shooter, either.",analysis
"That’s great and all but we have no evidence that Fox will complete that “maturation process”. There’s really nothing to suggest he can turn into an elite game managing point guard, that’s never been his style. His shooting is streaky bordering on bad and he’s had a few bad mental mistakes and turnovers.",analysis
He's the kind of player that would redeem his reputation through a few viral tiktoks and the next generation would pretend to understand his career based off those.,reaction
The short answer is coaching and maturity. The Knicks rarely miss assignments and easily adjust to the personnel on the floor.,hot_take
The team had quite literally zero offence outside of Westbrook. Google 2017 OKC roster lol.,hot_take
"Fox looked like a smart move to take scoring pressure off Wemby.I could see a situation next year where if Spurs get a power forward in the draft who can start, the lineup could be Harper at PG, Fox at SG and Castle at small forward.",analysis
"Westbrook was a bad shooter who led the league in shots taken. There were....looks it up.....nine guys on that team who played 20+ games and had a better eFG. Some of those names include Oladipo, McDermott, Jerami Grant (good shooters) and bigs like Taj and Adams who were high-efficiency inside scorers.",analysis
"I'm literally throwing up rn, how do you blow a 20 point lead in the 4th quarter. Fire Darvin Ham into the sun.",reaction
Least obvious ref ball.,reaction
"This is basically the top 13 from RealGM’s most recent (2023) poll, although they have Garnett at 9 and it took awhile for Kobe to edge out Jerry on tiebreaks. Next poll will be this summer and Jokic will for sure be in the top 15 conversation.",analysis
"Towns used to just try hard. Now he actually plays good D. He's not anywhere near Wemby territory but (according to D EPM which someone else in here thinks is the end all of stats) he's right there in the next pack of defenders with Castle, Harper, OG, and Bridges.",analysis
Herb just averaged 49% TS. Thats literally 8th percentile for effeciency.,analysis
"I largely agree, but I think it would be a cool idea if you included some tangible stats - both bad and good examples of how this has manifested recently",reaction
